2020年1月1日,農曆 初7,三,元旦放假
2020年1月2日,農曆 初8,四,臘八節
2020年1月3日,農曆 初9,五,
2020年1月4日,農曆 初10,六,
2020年1月5日,農曆 11,日,
2020年1月6日,農曆 12,一,小寒
2020年1月7日,農曆 13,二,
2020年1月8日,農曆 14,三,
2020年1月9日,農曆 15,四,
2020年1月10日,農曆 16,五,
2020年1月11日,農曆 17,六,
2020年1月12日,農曆 18,日,
2020年1月13日,農曆 19,一,
2020年1月14日,農曆 20,二,
2020年1月15日,農曆 21,三,
2020年1月16日,農曆 22,四,
2020年1月17日,農曆 23,五,小年
2020年1月18日,農曆 24,六,
2020年1月19日,農曆 25,日,
2020年1月20日,農曆 26,一,大寒
2020年1月21日,農曆 27,二,
2020年1月22日,農曆 28,三,
2020年1月23日,農曆 29,四,春節彈性放假
2020年1月24日,農曆 30,五,除夕
2020年1月25日,農曆 1,六,春節
2020年1月26日,農曆 初2,日,回娘家
2020年1月27日,農曆 初3,一,祭祖
2020年1月28日,農曆 初4,二,迎神
2020年1月29日,農曆 初5,三,春節補假
2020年1月30日,農曆 初6,四,
2020年1月31日,農曆 初7,五,
2020年2月1日,農曆 初8,六,
2020年2月2日,農曆 初9,日,天公生
2020年2月3日,農曆 初10,一,
2020年2月4日,農曆 11,二,立春
2020年2月5日,農曆 12,三,
2020年2月6日,農曆 13,四,
2020年2月7日,農曆 14,五,
2020年2月8日,農曆 15,六,元宵節
2020年2月9日,農曆 16,日,
2020年2月10日,農曆 17,一,
2020年2月11日,農曆 18,二,
2020年2月12日,農曆 19,三,
2020年2月13日,農曆 20,四,
2020年2月14日,農曆 21,五,西洋情人節
2020年2月15日,農曆 22,六,春節彈性放假補班
2020年2月16日,農曆 23,日,
2020年2月17日,農曆 24,一,
2020年2月18日,農曆 25,二,
2020年2月19日,農曆 26,三,雨水
2020年2月20日,農曆 27,四,
2020年2月21日,農曆 28,五,
2020年2月22日,農曆 29,六,
2020年2月23日,農曆 30,日,
2020年2月24日,農曆 1,一,龍抬頭節
2020年2月25日,農曆 初2,二,
2020年2月26日,農曆 初3,三,
2020年2月27日,農曆 初4,四,
2020年2月28日,農曆 初5,五,和平紀念日
2020年2月29日,農曆 初6,六,
2020年3月1日,農曆 初7,日,
2020年3月2日,農曆 初8,一,
2020年3月3日,農曆 初9,二,
2020年3月4日,農曆 初10,三,
2020年3月5日,農曆 11,四,驚蟄
2020年3月6日,農曆 12,五,
2020年3月7日,農曆 13,六,
2020年3月8日,農曆 14,日,婦女節
2020年3月9日,農曆 15,一,
2020年3月10日,農曆 16,二,
2020年3月11日,農曆 17,三,
2020年3月12日,農曆 18,四,植樹節
2020年3月13日,農曆 19,五,黑色星期五
2020年3月14日,農曆 20,六,白色情人節
2020年3月15日,農曆 21,日,
2020年3月16日,農曆 22,一,
2020年3月17日,農曆 23,二,
2020年3月18日,農曆 24,三,
2020年3月19日,農曆 25,四,
2020年3月20日,農曆 26,五,春分
2020年3月21日,農曆 27,六,洵賢生日
2020年3月22日,農曆 28,日,
2020年3月23日,農曆 29,一,
2020年3月24日,農曆 1,二,
2020年3月25日,農曆 初2,三,
2020年3月26日,農曆 初3,四,
2020年3月27日,農曆 初4,五,
2020年3月28日,農曆 初5,六,
2020年3月29日,農曆 初6,日,青年節
2020年3月30日,農曆 初7,一,
2020年3月31日,農曆 初8,二,
2020年4月1日,農曆 初9,三,
2020年4月2日,農曆 初10,四,清明節補假
2020年4月3日,農曆 11,五,清明節
2020年4月4日,農曆 12,六,清明節
2020年4月5日,農曆 13,日,
2020年4月6日,農曆 14,一,
2020年4月7日,農曆 15,二,
2020年4月8日,農曆 16,三,
2020年4月9日,農曆 17,四,
2020年4月10日,農曆 18,五,
2020年4月11日,農曆 19,六,
2020年4月12日,農曆 20,日,復活節
2020年4月13日,農曆 21,一,
2020年4月14日,農曆 22,二,
2020年4月15日,農曆 23,三,媽祖生辰
2020年4月16日,農曆 24,四,
2020年4月17日,農曆 25,五,
2020年4月18日,農曆 26,六,
2020年4月19日,農曆 27,日,谷雨
2020年4月20日,農曆 28,一,
2020年4月21日,農曆 29,二,
2020年4月22日,農曆 30,三,世界地球日
2020年4月23日,農曆 1,四,
2020年4月24日,農曆 初2,五,
2020年4月25日,農曆 初3,六,
2020年4月26日,農曆 初4,日,
2020年4月27日,農曆 初5,一,
2020年4月28日,農曆 初6,二,
2020年4月29日,農曆 初7,三,
2020年4月30日,農曆 初8,四,佛誕日浴佛節
2020年5月1日,農曆 初9,五,勞動節
2020年5月2日,農曆 初10,六,
2020年5月3日,農曆 11,日,
2020年5月4日,農曆 12,一,
2020年5月5日,農曆 13,二,立夏
2020年5月6日,農曆 14,三,
2020年5月7日,農曆 15,四,
2020年5月8日,農曆 16,五,
2020年5月9日,農曆 17,六,
2020年5月10日,農曆 18,日,母親節
2020年5月11日,農曆 19,一,
2020年5月12日,農曆 20,二,國際護士節
2020年5月13日,農曆 21,三,
2020年5月14日,農曆 22,四,
2020年5月15日,農曆 23,五,
2020年5月16日,農曆 24,六,
2020年5月17日,農曆 25,日,
2020年5月18日,農曆 26,一,
2020年5月19日,農曆 27,二,
2020年5月20日,農曆 28,三,小滿
2020年5月21日,農曆 29,四,
2020年5月22日,農曆 30,五,
2020年5月23日,農曆 1,六,
2020年5月24日,農曆 初2,日,
2020年5月25日,農曆 初3,一,
2020年5月26日,農曆 初4,二,
2020年5月27日,農曆 初5,三,
2020年5月28日,農曆 初6,四,
2020年5月29日,農曆 初7,五,
2020年5月30日,農曆 初8,六,
2020年5月31日,農曆 初9,日,
2020年6月1日,農曆 初10,一,
2020年6月2日,農曆 11,二,
2020年6月3日,農曆 12,三,
2020年6月4日,農曆 13,四,
2020年6月5日,農曆 14,五,芒種節
2020年6月6日,農曆 15,六,
2020年6月7日,農曆 16,日,
2020年6月8日,農曆 17,一,
2020年6月9日,農曆 18,二,
2020年6月10日,農曆 19,三,
2020年6月11日,農曆 20,四,
2020年6月12日,農曆 21,五,
2020年6月13日,農曆 22,六,
2020年6月14日,農曆 23,日,
2020年6月15日,農曆 24,一,
2020年6月16日,農曆 25,二,
2020年6月17日,農曆 26,三,
2020年6月18日,農曆 27,四,
2020年6月19日,農曆 28,五,
2020年6月20日,農曆 29,六,端午節放假彈性補班
2020年6月21日,農曆 1,日,夏至節
2020年6月22日,農曆 初2,一,
2020年6月23日,農曆 初3,二,
2020年6月24日,農曆 初4,三,
2020年6月25日,農曆 初5,四,端午節
2020年6月26日,農曆 初6,五,端午節彈性放假
2020年6月27日,農曆 初7,六,
2020年6月28日,農曆 初8,日,
2020年6月29日,農曆 初9,一,
2020年6月30日,農曆 初10,二,
2020年7月1日,農曆 11,三,
2020年7月2日,農曆 12,四,
2020年7月3日,農曆 13,五,
2020年7月4日,農曆 14,六,
2020年7月5日,農曆 15,日,
2020年7月6日,農曆 16,一,
2020年7月7日,農曆 17,二,小暑
2020年7月8日,農曆 18,三,
2020年7月9日,農曆 19,四,
2020年7月10日,農曆 20,五,
2020年7月11日,農曆 21,六,
2020年7月12日,農曆 22,日,
2020年7月13日,農曆 23,一,
2020年7月14日,農曆 24,二,
2020年7月15日,農曆 25,三,解嚴紀念日
2020年7月16日,農曆 26,四,
2020年7月17日,農曆 27,五,
2020年7月18日,農曆 28,六,
2020年7月19日,農曆 29,日,
2020年7月20日,農曆 30,一,
2020年7月21日,農曆 1,二,
2020年7月22日,農曆 初2,三,大暑
2020年7月23日,農曆 初3,四,
2020年7月24日,農曆 初4,五,
2020年7月25日,農曆 初5,六,
2020年7月26日,農曆 初6,日,
2020年7月27日,農曆 初7,一,
2020年7月28日,農曆 初8,二,
2020年7月29日,農曆 初9,三,
2020年7月30日,農曆 初10,四,
2020年7月31日,農曆 11,五,
2020年8月1日,農曆 12,六,
2020年8月2日,農曆 13,日,
2020年8月3日,農曆 14,一,
2020年8月4日,農曆 15,二,
2020年8月5日,農曆 16,三,
2020年8月6日,農曆 17,四,
2020年8月7日,農曆 18,五,立秋
2020年8月8日,農曆 19,六,父親節
2020年8月9日,農曆 20,日,
2020年8月10日,農曆 21,一,
2020年8月11日,農曆 22,二,
2020年8月12日,農曆 23,三,
2020年8月13日,農曆 24,四,
2020年8月14日,農曆 25,五,空軍節
2020年8月15日,農曆 26,六,
2020年8月16日,農曆 27,日,
2020年8月17日,農曆 28,一,
2020年8月18日,農曆 29,二,
2020年8月19日,農曆 1,三,鬼門開
2020年8月20日,農曆 初2,四,
2020年8月21日,農曆 初3,五,
2020年8月22日,農曆 初4,六,
2020年8月23日,農曆 初5,日,處暑
2020年8月24日,農曆 初6,一,
2020年8月25日,農曆 初7,二,七夕情人節
2020年8月26日,農曆 初8,三,
2020年8月27日,農曆 初9,四,
2020年8月28日,農曆 初10,五,
2020年8月29日,農曆 11,六,
2020年8月30日,農曆 12,日,祖父母節
2020年8月31日,農曆 13,一,
2020年9月1日,農曆 14,二,
2020年9月2日,農曆 15,三,中元節
2020年9月3日,農曆 16,四,軍人節
2020年9月4日,農曆 17,五,
2020年9月5日,農曆 18,六,
2020年9月6日,農曆 19,日,
2020年9月7日,農曆 20,一,白露
2020年9月8日,農曆 21,二,
2020年9月9日,農曆 22,三,
2020年9月10日,農曆 23,四,
2020年9月11日,農曆 24,五,
2020年9月12日,農曆 25,六,
2020年9月13日,農曆 26,日,
2020年9月14日,農曆 27,一,
2020年9月15日,農曆 28,二,
2020年9月16日,農曆 29,三,鬼門關
2020年9月17日,農曆 1,四,
2020年9月18日,農曆 初2,五,
2020年9月19日,農曆 初3,六,
2020年9月20日,農曆 初4,日,
2020年9月21日,農曆 初5,一,
2020年9月22日,農曆 初6,二,秋分
2020年9月23日,農曆 初7,三,
2020年9月24日,農曆 初8,四,
2020年9月25日,農曆 初9,五,
2020年9月26日,農曆 初10,六,中秋節放假彈性補班
2020年9月27日,農曆 11,日,
2020年9月28日,農曆 12,一,教師節
2020年9月29日,農曆 13,二,
2020年9月30日,農曆 14,三,
2020年10月1日,農曆 15,四,中秋節
2020年10月2日,農曆 16,五,中秋節彈性放假
2020年10月3日,農曆 17,六,
2020年10月4日,農曆 18,日,
2020年10月5日,農曆 19,一,
2020年10月6日,農曆 20,二,
2020年10月7日,農曆 21,三,
2020年10月8日,農曆 22,四,寒露
2020年10月9日,農曆 23,五,國慶日補假
2020年10月10日,農曆 24,六,國慶日放假
2020年10月11日,農曆 25,日,
2020年10月12日,農曆 26,一,
2020年10月13日,農曆 27,二,
2020年10月14日,農曆 28,三,
2020年10月15日,農曆 29,四,
2020年10月16日,農曆 30,五,
2020年10月17日,農曆 1,六,
2020年10月18日,農曆 初2,日,
2020年10月19日,農曆 初3,一,
2020年10月20日,農曆 初4,二,
2020年10月21日,農曆 初5,三,
2020年10月22日,農曆 初6,四,
2020年10月23日,農曆 初7,五,霜降
2020年10月24日,農曆 初8,六,台灣聯合國日
2020年10月25日,農曆 初9,日,台灣光復節
2020年10月26日,農曆 初10,一,
2020年10月27日,農曆 11,二,
2020年10月28日,農曆 12,三,
2020年10月29日,農曆 13,四,
2020年10月30日,農曆 14,五,
2020年10月31日,農曆 15,六,萬聖節
2020年11月1日,農曆 16,日,
2020年11月2日,農曆 17,一,
2020年11月3日,農曆 18,二,
2020年11月4日,農曆 19,三,
2020年11月5日,農曆 20,四,
2020年11月6日,農曆 21,五,
2020年11月7日,農曆 22,六,立冬
2020年11月8日,農曆 23,日,
2020年11月9日,農曆 24,一,
2020年11月10日,農曆 25,二,
2020年11月11日,農曆 26,三,
2020年11月12日,農曆 27,四,國父誕辰
2020年11月13日,農曆 28,五,黑色星期五
2020年11月14日,農曆 29,六,
2020年11月15日,農曆 1,日,
2020年11月16日,農曆 初2,一,
2020年11月17日,農曆 初3,二,
2020年11月18日,農曆 初4,三,
2020年11月19日,農曆 初5,四,
2020年11月20日,農曆 初6,五,
2020年11月21日,農曆 初7,六,
2020年11月22日,農曆 初8,日,小雪
2020年11月23日,農曆 初9,一,
2020年11月24日,農曆 初10,二,
2020年11月25日,農曆 11,三,
2020年11月26日,農曆 12,四,感恩節
2020年11月27日,農曆 13,五,
2020年11月28日,農曆 14,六,
2020年11月29日,農曆 15,日,
2020年11月30日,農曆 16,一,
2020年12月1日,農曆 17,二,
2020年12月2日,農曆 18,三,
2020年12月3日,農曆 19,四,
2020年12月4日,農曆 20,五,
2020年12月5日,農曆 21,六,
2020年12月6日,農曆 22,日,大雪
2020年12月7日,農曆 23,一,
2020年12月8日,農曆 24,二,
2020年12月9日,農曆 25,三,
2020年12月10日,農曆 26,四,
2020年12月11日,農曆 27,五,
2020年12月12日,農曆 28,六,
2020年12月13日,農曆 29,日,
2020年12月14日,農曆 30,一,
2020年12月15日,農曆 1,二,
2020年12月16日,農曆 初2,三,
2020年12月17日,農曆 初3,四,
2020年12月18日,農曆 初4,五,
2020年12月19日,農曆 初5,六,
2020年12月20日,農曆 初6,日,
2020年12月21日,農曆 初7,一,冬至節
2020年12月22日,農曆 初8,二,
2020年12月23日,農曆 初9,三,
2020年12月24日,農曆 初10,四,
2020年12月25日,農曆 11,五,聖誕節 行憲紀念日
2020年12月26日,農曆 12,六,
2020年12月27日,農曆 13,日,
2020年12月28日,農曆 14,一,
2020年12月29日,農曆 15,二,
2020年12月30日,農曆 16,三,
2020年12月31日,農曆 17,四,